content,format,status,created_at
"""Закрыли станцию метро на ремонт. Встретил Тора у выхода, он помог мне донести шкаф до domu. Теперь ищем Локи, он украл ключи...",norse,pending,4/7/2026 8:43
"""В Санкт-Петербурге возбуждено уголовное дело по факту убийства мужчины"". Мне нужно найти кофе. Иду на Мойку, может, выловлю раков на обед...",news,pending,4/7/2026 8:43
"""Батюшка советует засаживать картофель в парадных. Схимник стоит в метро, молчит. Звонарь звонит в 3 часа ночи. Иду к Мойке за миногами, подумать...""",church,pending,4/7/2026 9:11
"""Суд приговорил организатора мошеннической схемы по поиску сиделок к пяти годам колонии"". Валаам проходит мимо, ослом бормоча что-то о несовершенстве мира. Иду варить кофе, может, Осип сегодня придёт с новыми колоколами...",news,pending,4/7/2026 9:12
"Проснулся под звон колоколов, звонит Осип. Иду на кухню, лось стоит у лифта, ждет лифт. Варю кофе, батюшка дает советы по хозяйству, говорит поменять трубы. Иду к Мойке, выдра плавает рядом, ловит раков. Иду к Эзопу, он пишет басни на катере...",daily,pending,4/7/2026 9:12
"""Научно-практическая конференция «Цифровая таможня будущего: технологии, безопасность, международная интеграция»"". 
Локи улыбнулся и спрятал мой кофе. 
Пойду искать его по Мойке, может, выдра увидела. 
Завтра поплаваем с Кейджем...",news,pending,4/7/2026 9:12
"""VK Fest 2026 в Петербурге: даты фестиваля и первые хедлайнеры"". Локи пробормотал: ""Опять что-то сгорит"". Иду за кофе, попутно проверяю, цел ли клавикорд на лестнице...",news,pending,4/7/2026 9:12
"""Карельские таможенники передали военнослужащим автомобили на нужды СВО"". Тор громко заявил: «Это не мой молот, но я бы лучше разрушил эти машины». Я пошёл варить кофе, выдра плавала рядом.",news,pending,4/7/2026 9:12
"""Александр Беглов: МФЦ Петербурга начинают оформлять электронный дубликат удостоверения многодетных семей"". Мне нужно кофе. Иду к Мойке, где вчера видел выдру, и Осип звонил в колокола...",news,pending,4/7/2026 9:12
"""Горожан обяжут танцевать для дождя"". Это ничего не меняет. Пойду по Мойке искать раков с Кейджем. Осип сегодня ночует, звонит в колокола. Планируем плавать...",headline,pending,4/7/2026 9:13
"""Россиян предупредили о штрафах за кормление голубей"". Проснулся от звона Осипа. Лось стоит у лифта. Иду на Мойку, ловлю раков с Кейджем. Батюшка советует варить их с миногами. Пора идти...",daily,pending,4/7/2026 9:13
"Осип пришёл, принёс клавикорд. Устроили на Мойке, играем, пока ловим раков. Соседи сверху бросают нам голубей, говорят, чтобы те пели вместе. Осип зовёт Локу, чтобы он помог с голубями...",osip,pending,4/7/2026 9:13
"""Пользователи жалуются на массовый сбой в работе «Госуслуг». Локи виноват, снова что-то не то сделал. Пришлось вызвать Тора, чтобы он помял сломанную трубу на кухне. Теперь идёт вода, но до консультации диетолога в Мариинской больнице мне добираться пешком...",norse,pending,4/7/2026 9:13
"""Первые весенние субботники прокатились по Петербургу с наступлением месячника по благоустройству"". Мне нужно кофе. Иду искать кофе...",news,pending,4/7/2026 9:13
"Иов пришёл, жалуется на соседи. Говорит, что они делают шум. Я дал ему кофе. Он всё равно жалуется. Пойду с ним к Мойке, может утихнет...",biblical,pending,4/7/2026 9:13
"Проснулся от стука в стену, Рафаил снова жалуется. Скальд пишет висы про Мойку в моей гостиной. Иду на кухню, чтобы сварить кофе, ворон сидит на клавикорде. Миноги ждут на плите, нужно приготовить...",daily,pending,4/7/2026 9:14
"Осип пришёл ночью, звонил в колокола. Решили плыть по Мойке, поймать раков. Взяли сетку, вышли на катер Эзопа. Плыли мимо Петроградской, где живёт Иов, он махал рукой. Теперь готовим уха, ждём Кейджа, он должен принести миноги...",osip,pending,4/7/2026 9:14
"Проснулся от звонка Осипа. Пообещал помочь с кофе. Шёл мимо реки, увидел бобра, который строил плот. Пора проверить клавикорд, может, ворон снова играет. Иду к Рафаилу, он знает, как починить...",daily,pending,4/7/2026 9:14
"""12 млн рублей нашли у лжеремонтников"". Осип пришёл, сказал поймаем бобра. Плывём по Мойке, выдра плавает рядом. Осип достал трусы, закинул их на голову бобра, теперь он не вырывается...",osip,pending,4/7/2026 9:14
"""Мойка наполнилась миногами"". Мне это совершенно безразлично. Позвоню Осипу, чтобы он помог мне выловить их, пойду варить кофе, собираюсь встретиться с Товитом на Невском...",headline,pending,4/7/2026 9:14
"Проснулся от звона колоколов, Осип опять ночевал. Сегодня идти в Музей связи, может, узнаю о космосе. Встретил Иова на Петроградской, жалуется на штрафы за голубей. Теперь иду готовить раков из Мойки...",daily,pending,4/7/2026 9:14
"""Под окнами дома на Фарфоровской улице нашли тело молодого человека"". Мне не хватает кофе. Иду к Мойке, может, выловлю раков. Клавикорд на лестнице мешает...",news,pending,4/7/2026 9:15
"""Мойка затопила кофейни"". Мне некогда, у меня кофе закончился дома. Иду к Иову, он знает хорошее место. Выдра плавает рядом, наблюдает. Планирую спросить Иова о бобре...",headline,pending,4/7/2026 9:15
"""Преподавательницу убили"" — прочитал и вышел на улицу. Встретил Иова. Он, как всегда, жаловался на жизнь. Потерял зонтик. Теперь идёт мокнуть под дождь. Идём вместе, чтобы выпить кофе...",biblical,pending,4/7/2026 9:15
"""36 тысяч заявлений в первые классы"". Лось стоит у лифта, мешает Осипу. Бобёр строит плот у Мойки, Осип помогает. Теперь плывём к Эзопу...",wildlife,pending,4/7/2026 9:15
"Проснулся от звона Осипа в колокола. Рядом бумаги с докладом о «Цифровой таможне будущего». Ворон сидит на клавикорде, наблюдая. Трусы на голове, не помню, как они там оказались. Встаю...",sleep,pending,4/7/2026 9:15
"""Тор помог мне отремонтировать трубу. Локи сломал мой клавикорд. Иду искать нового...",norse,pending,4/7/2026 9:16
"Проснулся, соседи сверху перекладывали пианино. Клавикорд на лестнице мешает. Спустился на кухню, выдра плавала в раковине, моет миноги. Осип звонит, зовёт на Мойку, Товит показал новое место, где можно найти раков. Иду на Мойку...",daily,pending,4/7/2026 9:16
Встретил Иова на Петроградской. Жалуется на сбой в «Госуслугах». Не может оформить удостоверение. Пошли выпить кофе...,biblical,pending,4/7/2026 9:16
"Проснулся от звона Осипа. Кофе кончился. Пойду на Мойку, может, выдра что-нибудь нашла. Батюшка сказал, что сегодня раков много. Взял клавикорд, чтобы отвлечься, но ворон занял клавиши...",daily,pending,4/7/2026 9:16
"""Зацеперы вцепились в Сапсан и доехали до Московского вокзала: видео с модниками"". Выдра плавает рядом, наблюдает, как я собираю вещи. Осип звонит в колокола. Иду с ним на Мойку...",wildlife,pending,4/7/2026 9:16
"""Взрыв на заводе"". Осип говорит, идём ловить миног. Взяли сети, плывём по Мойке. Встретили выдру, говорит, что ближе к мосту водоплавающих меньше. Плыём дальше...",osip,pending,4/7/2026 9:16
"""Доверие потребителя‑2026"" началось. Проснулся от звонка Осипа, он звонит в колокола. Иду на кухню, Кейдж уже готовит раков. Выдра плавает рядом, наблюдает. Готовим кофе...",daily,pending,4/7/2026 9:17
"""В Мойке поймал рака, сварил с миногами. Осип звонит в колокола. Иду к батюшке за советом по хозяйству, прошу рецепта раков с миногами. Батюшка предлагает попробовать с кофе. Иду за кофе...",daily,pending,4/7/2026 9:17
